70 1547499457 0.800200 2.000000 0.000000 1.001000 1.600800
70 1547499458 0.800200 2.000000 0.000000 1.001000 1.600800
70 1547499459 0.800200 2.000000 0.000000 1.001000 1.600800
70 1547499460 0.800200 2.000000 0.000000 1.001000 1.600800
70 1547499461 0.800200 2.000000 0.000000 1.001000 1.600800
70 1547499462 1.000750 0.800000 1.000000 1.001000 0.801201
70 1547499463 1.000750 0.800000 1.000000 1.001000 0.801201
70 1547499464 1.000750 0.800000 1.000000 1.001000 0.801201
70 1547499465 1.000750 0.800000 1.000000 1.001000 0.801201
70 1547499466 1.000750 0.800000 1.000000 1.001000 0.801201
70 1547499467 1.000667 0.600000 1.000000 1.001000 0.600800
70 1547499468 1.000667 0.600000 1.000000 1.001000 0.600800
70 1547499469 1.000667 0.600000 1.000000 1.001000 0.600800
70 1547499470 1.000667 0.600000 1.000000 1.001000 0.600800
70 1547499471 1.000667 0.600000 1.000000 1.001000 0.600800
70 1547499472 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499473 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499474 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499475 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499476 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499477 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499478 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499479 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499480 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499481 1.000333 0.600000 1.000000 1.001000 0.600400
70 1547499482 1.003000 2.200000 1.000000 1.018000 2.213283
70 1547499483 1.003000 2.200000 1.000000 1.018000 2.213283
70 1547499484 1.003000 2.200000 1.000000 1.018000 2.213283
70 1547499485 1.003000 2.200000 1.000000 1.018000 2.213283
70 1547499486 1.003000 2.200000 1.000000 1.018000 2.213283
70 1547499487 1.000286 1.400000 1.000000 1.001000 1.400800
70 1547499488 1.000286 1.400000 1.000000 1.001000 1.400800
70 1547499489 1.000286 1.400000 1.000000 1.001000 1.400800
70 1547499490 1.000286 1.400000 1.000000 1.001000 1.400800
70 1547499491 1.000286 1.400000 1.000000 1.001000 1.400800
70 1547499492 0.877500 1.600000 0.000000 1.010000 1.408036
70 1547499493 0.877500 1.600000 0.000000 1.010000 1.408036
70 1547499494 0.877500 1.600000 0.000000 1.010000 1.408036
70 1547499495 0.877500 1.600000 0.000000 1.010000 1.408036
70 1547499496 0.877500 1.600000 0.000000 1.010000 1.408036
70 1547499497 0.750500 0.800000 0.000000 1.001000 0.600800
70 1547499498 0.750500 0.800000 0.000000 1.001000 0.600800
70 1547499499 0.750500 0.800000 0.000000 1.001000 0.600800
70 1547499500 0.750500 0.800000 0.000000 1.001000 0.600800
70 1547499501 0.750500 0.800000 0.000000 1.001000 0.600800
70 1547499502 0.835167 1.200000 0.000000 1.009000 1.004417
70 1547499503 0.835167 1.200000 0.000000 1.009000 1.004417
70 1547499504 0.835167 1.200000 0.000000 1.009000 1.004417
70 1547499505 0.835167 1.200000 0.000000 1.009000 1.004417
70 1547499506 0.835167 1.200000 0.000000 1.009000 1.004417
70 1547499507 1.002625 1.600000 1.000000 1.010000 1.608437
70 1547499508 1.002625 1.600000 1.000000 1.010000 1.608437
70 1547499509 1.002625 1.600000 1.000000 1.010000 1.608437
70 1547499510 1.002625 1.600000 1.000000 1.010000 1.608437
70 1547499511 1.002625 1.600000 1.000000 1.010000 1.608437
70 1547499512 1.000800 2.000000 1.000000 1.002000 2.003202
70 1547499513 1.000800 2.000000 1.000000 1.002000 2.003202
70 1547499514 1.000800 2.000000 1.000000 1.002000 2.003202
70 1547499515 1.000800 2.000000 1.000000 1.002000 2.003202
70 1547499516 1.000800 2.000000 1.000000 1.002000 2.003202
70 1547499517 1.000500 0.800000 1.000000 1.001000 0.800800
70 1547499518 1.000500 0.800000 1.000000 1.001000 0.800800
70 1547499519 1.000500 0.800000 1.000000 1.001000 0.800800
70 1547499520 1.000500 0.800000 1.000000 1.001000 0.800800
70 1547499521 1.000500 0.800000 1.000000 1.001000 0.800800
70 1547499522 0.800000 0.800000 0.000000 1.200000 0.688000
70 1547499523 0.800000 0.800000 0.000000 1.200000 0.688000
70 1547499524 0.800000 0.800000 0.000000 1.200000 0.688000
70 1547499525 0.800000 0.800000 0.000000 1.200000 0.688000
70 1547499526 0.800000 0.800000 0.000000 1.200000 0.688000
70 1547499527 1.001500 1.200000 1.001000 1.002000 1.203603
70 1547499528 1.001500 1.200000 1.001000 1.002000 1.203603
70 1547499529 1.001500 1.200000 1.001000 1.002000 1.203603
70 1547499530 1.001500 1.200000 1.001000 1.002000 1.203603
70 1547499531 1.001500 1.200000 1.001000 1.002000 1.203603
70 1547499532 1.001000 0.800000 1.000000 1.002000 0.801601
70 1547499533 1.001000 0.800000 1.000000 1.002000 0.801601
70 1547499534 1.001000 0.800000 1.000000 1.002000 0.801601
70 1547499535 1.001000 0.800000 1.000000 1.002000 0.801601
70 1547499536 1.001000 0.800000 1.000000 1.002000 0.801601
70 1547499537 1.002500 2.000000 1.000000 1.010000 2.010027
70 1547499538 1.002500 2.000000 1.000000 1.010000 2.010027
70 1547499539 1.002500 2.000000 1.000000 1.010000 2.010027
70 1547499540 1.002500 2.000000 1.000000 1.010000 2.010027
70 1547499541 1.002500 2.000000 1.000000 1.010000 2.010027
70 1547499542 1.002750 1.600000 1.000000 1.010000 1.608825
70 1547499543 1.002750 1.600000 1.000000 1.010000 1.608825
