1547474237	0	1547474247
1547474247	6	1547474248
1547474248	11	1547474253
1547474253	14	1547474258
1547474258	17	1547474263
1547474263	20	1547474268
1547474268	23	1547474271
1547474271	22	1547474272
1547474272	21	1547474273
1547474273	24	1547474278
1547474278	27	1547474283
1547474283	30	1547474285
1547474285	32	1547474309
1547474309	31	1547474311
1547474311	30	1547474475
1547474475	29	1547474485
1547474485	28	1547474489
1547474489	27	1547474491
1547474491	26	1547474499
1547474499	24	1547474501
1547474501	23	1547474502
1547474502	21	1547474503
1547474503	17	1547474504
1547474504	15	1547474509
1547474509	14	1547474511
1547474511	13	1547474517
1547474517	12	1547474524
1547474524	10	1547474525
1547474525	8	1547474526
1547474526	7	1547474557
1547474557	6	1547474580
1547474580	5	1547474582
1547474582	2	1547474594
1547474594	1	1547474605
